,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
384,strezhevoy,99,,1650595091,74,60.7333,77.5889,13.41,12.41
385,guerrero negro,77,,1650594901,78,27.9769,-114.0611,60.19,18.52
386,auchel,91,,1650595091,77,50.5034,2.4735,53.1,10.65
387,padang,54,,1650594805,63,-0.9492,100.3543,86.05,4.92
388,muhos,100,,1650595092,99,64.808,25.9931,33.58,5.79
390,aurora,20,,1650595054,26,39.7294,-104.8319,70.72,23.02
391,mugur-aksy,100,,1650595092,61,50.35,90.5,38.39,10.92
393,leninskoye,54,,1650595093,60,41.7589,69.3864,63.7,1.43
394,trairi,99,,1650595093,94,-3.2778,-39.2689,75.6,5.35
395,la primavera,100,,1650595093,86,5.4906,-70.4092,77.45,5.68
396,lompoc,100,,1650595094,78,34.6391,-120.4579,60.94,10
398,pitea,46,,1650595094,95,65.3172,21.4794,33.89,7.81
399,urumqi,0,,1650595094,23,43.801,87.6005,59.95,4.47
400,olinda,75,,1650595095,74,-8.0089,-34.8553,82.13,3.44
401,mkushi,94,,1650595095,97,-13.6202,29.3939,61.7,4.94
402,havelock,0,,1650595096,82,34.8791,-76.9013,64.94,3.44
403,chicama,75,,1650594603,79,-7.8447,-79.1469,63.14,6.91
404,mitsamiouli,100,,1650595096,82,-11.3847,43.2844,80.83,11.34
406,sistranda,3,,1650595156,81,63.7256,8.834,37.36,24.63
407,paita,83,,1650595157,79,-5.0892,-81.1144,69.06,13.69
408,sakaraha,60,,1650595157,77,-22.9,44.5333,68.68,4.76
409,vestmanna,65,,1650595157,65,62.1564,-7.1664,43.72,9.22
410,oktyabrskoye,100,,1650595158,100,43.0645,44.7417,41.14,4.47
411,montgomery,75,,1650595158,70,39.1501,-77.1997,61.32,0
412,alice springs,0,,1650595158,32,-23.7,133.8833,72.95,16.11
413,uttarkashi,92,,1650595159,36,30.7333,78.45,75.6,3.67
414,vershino-darasunskiy,41,,1650595159,13,52.35,115.5167,35.4,6.29
415,gushi,100,,1650595160,22,34.6425,109.5843,72.91,10.11
416,kemin,61,,1650595160,60,42.7846,75.6892,60.48,2.42
418,taunggyi,4,,1650595160,41,20.7833,97.0333,78.3,4.61
419,vargashi,2,,1650594916,53,55.3556,65.8467,29.26,7.9
420,kpandae,100,,1650595161,83,8.4689,-0.0113,75.31,4.16
421,tessalit,2,,1650595161,10,20.1986,1.0114,76.93,8.75
422,ternate,97,,1650595161,73,0.8,127.4,84.27,4.94
423,bathsheba,40,,1650595162,65,13.2167,-59.5167,79.41,16.11
424,samarai,84,,1650595162,73,-10.6167,150.6667,84.56,13.22
425,lakselv,100,,1650595162,87,70.0513,24.9718,37.22,14.97
426,marystown,77,,1650595163,100,47.1666,-55.1483,34.86,0.92
427,ponta delgada,40,,1650595163,67,37.7333,-25.6667,56.12,8.05
428,smithers,75,,1650594879,30,54.7804,-127.1743,52.12,4.61
430,hihya,100,,1650595164,80,30.6713,31.588,55.17,7.7
431,menongue,35,,1650595164,79,-14.6585,17.691,52.95,3
432,lebu,100,,1650595164,96,-37.6167,-73.65,52.92,5.61
433,the valley,54,,1650595165,75,18.217,-63.0578,77.09,21.61
434,calvinia,35,,1650595165,48,-31.4707,19.776,63.43,3.69
435,roald,2,,1650595165,87,62.5833,6.1333,47.75,20.71
436,fare,49,,1650595166,81,-16.7,-151.0167,78.55,14.7
437,cezieni,97,,1650595166,67,44.1833,24.2667,50.05,7.49
438,tokat,41,,1650595166,75,40.4167,36.5833,35.98,1.92
440,ayame,100,,1650595167,96,5.6083,-3.1563,73.42,1.45
441,gopalganj,77,,1650595167,43,26.4667,84.4333,88.63,3.62
443,nioro,31,,1650595167,30,13.35,-15.75,80.38,5.35
444,codrington,81,,1650595168,56,-38.2667,141.9667,59.04,15.1
445,santa fe,25,,1650595059,86,-31.6333,-60.7,68.02,1.99
447,margate,100,,1650594937,85,51.3813,1.3862,51.31,5.99
